interaction_id,attribute,value
150,node_from,B19
150,layer_from,jul14
150,node_to,P12
150,layer_to,jul14
150,weight,5
150,type,seed-dispersal
150,method,observation
151,node_from,B19
151,layer_from,jul14
151,node_to,P35
151,layer_to,jul14
151,weight,2
151,type,seed-dispersal
151,method,observation
152,node_from,B19
152,layer_from,jul14
152,node_to,P14
152,layer_to,jul14
152,weight,1
152,type,seed-dispersal
152,method,observation
153,node_from,B19
153,layer_from,jul14
153,node_to,P43
153,layer_to,jul14
153,weight,2
153,type,seed-dispersal
153,method,observation
154,node_from,B20
154,layer_from,jul14
154,node_to,P12
154,layer_to,jul14
154,weight,2
154,type,seed-dispersal
154,method,observation
155,node_from,B20
155,layer_from,jul14
155,node_to,P14
155,layer_to,jul14
155,weight,9
155,type,seed-dispersal
155,method,observation
156,node_from,B21
156,layer_from,jul14
156,node_to,P14
156,layer_to,jul14
156,weight,1
156,type,seed-dispersal
156,method,observation
157,node_from,B23
157,layer_from,jul14
157,node_to,P12
157,layer_to,jul14
157,weight,4
157,type,seed-dispersal
157,method,observation
158,node_from,B23
158,layer_from,jul14
158,node_to,P14
158,layer_to,jul14
158,weight,62
158,type,seed-dispersal
158,method,observation
159,node_from,B23
159,layer_from,jul14
159,node_to,P43
159,layer_to,jul14
159,weight,10
159,type,seed-dispersal
159,method,observation
160,node_from,B25
160,layer_from,jul14
160,node_to,P14
160,layer_to,jul14
160,weight,1
160,type,seed-dispersal
160,method,observation
161,node_from,B27
161,layer_from,jul14
161,node_to,P12
161,layer_to,jul14
161,weight,1
161,type,seed-dispersal
161,method,observation
162,node_from,B27
162,layer_from,jul14
162,node_to,P35
162,layer_to,jul14
162,weight,5
162,type,seed-dispersal
162,method,observation
163,node_from,B27
163,layer_from,jul14
163,node_to,P14
163,layer_to,jul14
163,weight,4
163,type,seed-dispersal
163,method,observation
164,node_from,B29
164,layer_from,jul14
164,node_to,P12
164,layer_to,jul14
164,weight,1
164,type,seed-dispersal
164,method,observation
165,node_from,B29
165,layer_from,jul14
165,node_to,P17
165,layer_to,jul14
165,weight,2
165,type,seed-dispersal
165,method,observation
166,node_from,B32
166,layer_from,jul14
166,node_to,P12
166,layer_to,jul14
166,weight,2
166,type,seed-dispersal
166,method,observation
167,node_from,B32
167,layer_from,jul14
167,node_to,P14
167,layer_to,jul14
167,weight,10
167,type,seed-dispersal
167,method,observation
168,node_from,B34
168,layer_from,jul14
168,node_to,P12
168,layer_to,jul14
168,weight,3
168,type,seed-dispersal
168,method,observation
169,node_from,B35
169,layer_from,jul14
169,node_to,P14
169,layer_to,jul14
169,weight,1
169,type,seed-dispersal
169,method,observation
170,node_from,B35
170,layer_from,jul14
170,node_to,P17
170,layer_to,jul14
170,weight,1
170,type,seed-dispersal
170,method,observation
171,node_from,B36
171,layer_from,jul14
171,node_to,P35
171,layer_to,jul14
171,weight,1
171,type,seed-dispersal
171,method,observation
172,node_from,B36
172,layer_from,jul14
172,node_to,P20
172,layer_to,jul14
172,weight,3
172,type,seed-dispersal
172,method,observation
173,node_from,B11
173,layer_from,aug14
173,node_to,P15
173,layer_to,aug14
173,weight,9
173,type,seed-dispersal
173,method,observation
174,node_from,B11
174,layer_from,aug14
174,node_to,P19
174,layer_to,aug14
174,weight,17
174,type,seed-dispersal
174,method,observation
175,node_from,B18
175,layer_from,aug14
175,node_to,P20
175,layer_to,aug14
