layer_id,node_id,attribute,value
9,35,node_name,Etheostoma nigrum
9,35,sample_size,0
3,35,node_name,Etheostoma nigrum
3,35,sample_size,24
4,35,node_name,Etheostoma nigrum
4,35,sample_size,0
10,35,node_name,Etheostoma nigrum
10,35,sample_size,0
5,35,node_name,Etheostoma nigrum
5,35,sample_size,0
11,35,node_name,Etheostoma nigrum
11,35,sample_size,0
6,35,node_name,Etheostoma nigrum
6,35,sample_size,39
7,35,node_name,Etheostoma nigrum
7,35,sample_size,0
12,35,node_name,Etheostoma nigrum
12,35,sample_size,0
1,36,node_name,Percina caprodes
1,36,sample_size,0
8,36,node_name,Percina caprodes
8,36,sample_size,0
2,36,node_name,Percina caprodes
2,36,sample_size,0
9,36,node_name,Percina caprodes
9,36,sample_size,0
3,36,node_name,Percina caprodes
3,36,sample_size,35
4,36,node_name,Percina caprodes
4,36,sample_size,0
10,36,node_name,Percina caprodes
10,36,sample_size,0
5,36,node_name,Percina caprodes
5,36,sample_size,0
11,36,node_name,Percina caprodes
11,36,sample_size,0
6,36,node_name,Percina caprodes
6,36,sample_size,0
7,36,node_name,Percina caprodes
7,36,sample_size,0
12,36,node_name,Percina caprodes
12,36,sample_size,0
1,37,node_name,Cottus bairdi
1,37,sample_size,0
8,37,node_name,Cottus bairdi
8,37,sample_size,0
2,37,node_name,Cottus bairdi
2,37,sample_size,0
9,37,node_name,Cottus bairdi
9,37,sample_size,0
3,37,node_name,Cottus bairdi
3,37,sample_size,10
4,37,node_name,Cottus bairdi
4,37,sample_size,0
10,37,node_name,Cottus bairdi
10,37,sample_size,0
5,37,node_name,Cottus bairdi
5,37,sample_size,0
11,37,node_name,Cottus bairdi
11,37,sample_size,0
6,37,node_name,Cottus bairdi
6,37,sample_size,8
7,37,node_name,Cottus bairdi
7,37,sample_size,0
12,37,node_name,Cottus bairdi
12,37,sample_size,0
1,38,node_name,Catostomus macrocheilus
1,38,sample_size,0
8,38,node_name,Catostomus macrocheilus
8,38,sample_size,0
2,38,node_name,Catostomus macrocheilus
2,38,sample_size,0
9,38,node_name,Catostomus macrocheilus
9,38,sample_size,0
3,38,node_name,Catostomus macrocheilus
3,38,sample_size,0
4,38,node_name,Catostomus macrocheilus
4,38,sample_size,43
10,38,node_name,Catostomus macrocheilus
10,38,sample_size,43
5,38,node_name,Catostomus macrocheilus
5,38,sample_size,49
11,38,node_name,Catostomus macrocheilus
11,38,sample_size,49
6,38,node_name,Catostomus macrocheilus
6,38,sample_size,0
