layer,attribute,value
89,last_date,1988-03-04
89,num_traps,NA
89,nights,1
90,type,space
90,type,time
90,population_no,113
90,latitude,48.602025
90,longitude,21.090925
90,biotop,N
90,region,Kosicka kotlina basin
90,locality,Cecejovce
90,files,KosKotl
90,year,1988
90,month,3
90,first_date,1988-03-23
90,last_date,1988-03-24
90,num_traps,NA
90,nights,1
91,type,space
91,type,time
91,population_no,114
91,latitude,48.5656083
91,longitude,21.2358333
91,biotop,N
91,region,Kosicka kotlina basin
91,locality,Sena
91,files,KosKotl
91,year,1989
91,month,3
91,first_date,1989-03-23
91,last_date,1989-03-23
91,num_traps,NA
91,nights,1
92,type,space
92,type,time
92,population_no,115
92,latitude,48.5656083
92,longitude,21.2358333
92,biotop,N
92,region,Kosicka kotlina basin
92,locality,Sena
92,files,KosKotl
92,year,1990
92,month,3
92,first_date,1990-03-23
92,last_date,1990-03-23
92,num_traps,NA
92,nights,1
93,type,space
93,type,time
93,population_no,116
93,latitude,48.5282639
93,longitude,21.1730833
93,biotop,N
93,region,Kosicka kotlina basin
93,locality,Perin
93,files,KosKotl
93,year,1990
93,month,12
93,first_date,1990-12-14
93,last_date,1990-12-15
93,num_traps,NA
93,nights,1
94,type,space
94,type,time
94,population_no,117
94,latitude,48.585425
94,longitude,21.231725
94,biotop,N
94,region,Kosicka kotlina basin
94,locality,Bociar
94,files,KosKotl
94,year,1991
94,month,4
94,first_date,1991-04-11
94,last_date,1991-04-12
94,num_traps,NA
94,nights,1
95,type,space
95,type,time
95,population_no,118
95,latitude,48.6238944
95,longitude,21.2273194
95,biotop,N
95,region,Kosicka kotlina basin
95,locality,Haniska
95,files,KosKotl
95,year,1991
95,month,9
95,first_date,1991-09-25
95,last_date,1991-09-26
95,num_traps,NA
95,nights,1
96,type,space
96,type,time
96,population_no,119
96,latitude,48.602025
96,longitude,21.090925
96,biotop,N
96,region,Kosicka kotlina basin
96,locality,Cecejovce
96,files,KosKotl
96,year,1991
96,month,12
96,first_date,1991-12-17
96,last_date,1991-12-18
96,num_traps,NA
96,nights,1
97,type,space
97,type,time
97,population_no,120
97,latitude,48.622825
97,longitude,21.3281167
97,biotop,N
97,region,Kosicka kotlina basin
97,locality,Koksov-Baksa
97,files,KosKotl
97,year,1992
97,month,3
97,first_date,1992-03-26
97,last_date,1992-03-27
97,num_traps,NA
97,nights,1
98,type,space
98,type,time
98,population_no,121
98,latitude,48.6539889
98,longitude,21.0414
98,biotop,F
98,region,Kosicka kotlina basin
98,locality,Panovce
98,files,KosKotl
98,year,1992
98,month,4
98,first_date,1992-04-15
