layer_from,node_from,layer_to,node_to,weight,type
Trophic,benthic_diatoms,Trophic,enoplochiton  niger,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  costata,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  crassa,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  cummingii,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  limbata,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  maxima,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  picta,1,trophic
Trophic,benthic_diatoms,Trophic,fissurella  puhlcra,1,trophic
Trophic,benthic_diatoms,Trophic,scurria  araucana,1,trophic
Trophic,benthic_diatoms,Trophic,scurria  ceciliana,1,trophic
Trophic,benthic_diatoms,Trophic,scurria  plana,1,trophic
Trophic,benthic_diatoms,Trophic,scurria scurra,1,trophic
Trophic,benthic_diatoms,Trophic,scurria variabilis,1,trophic
Trophic,benthic_diatoms,Trophic,scurria viridula,1,trophic
Trophic,benthic_diatoms,Trophic,scurria zebrina,1,trophic
Trophic,benthic_diatoms,Trophic,siphonaria lesoni,1,trophic
Trophic,benthic_diatoms,Trophic,tegula atra,1,trophic
Trophic,benthic_diatoms,Trophic,tonicia  benaventii,1,trophic
Trophic,benthic_diatoms,Trophic,tonicia  chilensis,1,trophic
Trophic,benthic_diatoms,Trophic,tonicia  elegans,1,trophic
Trophic,benthic_diatoms,Trophic,nodolittorina peruviana,1,trophic
Trophic,benthic_diatoms,Trophic,austrolittorina araucana,1,trophic
Trophic,benthic_diatoms,Trophic,onchidella,1,trophic
Trophic,benthic_diatoms,Trophic,trimusculus peruvianus,1,trophic
Trophic,brachidontes granulata,Trophic,acanthina monodon,1,trophic
Trophic,brachidontes granulata,Trophic,acanthocyclus gayi,1,trophic
Trophic,brachidontes granulata,Trophic,acanthocyclus hassleri,1,trophic
Trophic,brachidontes granulata,Trophic,concholepas concholepas,1,trophic
Trophic,brachidontes granulata,Trophic,heliaster helianthus,1,trophic
Trophic,brachidontes granulata,Trophic,stichaster striatus,1,trophic
Trophic,brachidontes granulata,Trophic,anthotoe spp.,1,trophic
Trophic,brachidontes granulata,Trophic,bunodactis spp.,1,trophic
Trophic,brachidontes granulata,Trophic,isolauctis spp.,1,trophic
Trophic,brachidontes granulata,Trophic,parantheopsis,1,trophic
Trophic,brachidontes granulata,Trophic,phymactis spp.,1,trophic
Trophic,bryopsis_spp,Trophic,acanthopleura echinata,1,trophic
Trophic,bryopsis_spp,Trophic,chaetopleura peruviana,1,trophic
Trophic,bryopsis_spp,Trophic,chiton  cummingii,1,trophic
Trophic,bryopsis_spp,Trophic,chiton  granosus,1,trophic
Trophic,bryopsis_spp,Trophic,chiton  latus,1,trophic
Trophic,bryopsis_spp,Trophic,lottia  orbigny,1,trophic
Trophic,bryopsis_spp,Trophic,enoplochiton  niger,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  costata,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  crassa,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  cummingii,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  limbata,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  maxima,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  picta,1,trophic
Trophic,bryopsis_spp,Trophic,fissurella  puhlcra,1,trophic
Trophic,bryopsis_spp,Trophic,scurria  araucana,1,trophic
Trophic,bryopsis_spp,Trophic,scurria  ceciliana,1,trophic
Trophic,bryopsis_spp,Trophic,scurria  plana,1,trophic
Trophic,bryopsis_spp,Trophic,scurria scurra,1,trophic
Trophic,bryopsis_spp,Trophic,scurria variabilis,1,trophic
Trophic,bryopsis_spp,Trophic,scurria viridula,1,trophic
Trophic,bryopsis_spp,Trophic,scurria zebrina,1,trophic
Trophic,bryopsis_spp,Trophic,siphonaria lesoni,1,trophic
Trophic,bryopsis_spp,Trophic,tegula atra,1,trophic
Trophic,bryopsis_spp,Trophic,tonicia  benaventii,1,trophic
Trophic,bryopsis_spp,Trophic,tonicia  chilensis,1,trophic
Trophic,bryopsis_spp,Trophic,tonicia  elegans,1,trophic
Trophic,bryopsis_spp,Trophic,trimusculus peruvianus,1,trophic
Trophic,centroceras spp.,Trophic,acanthopleura echinata,1,trophic
